# liu_readings.txt — 繁體單字讀音底稿
# primary: dict-revised.json (moedict)
# fill: Newlist(台灣教育部).txt — only chars absent from dict-revised
# light tone = 5; ü written as v
# format: 字<TAB>py1 py2 ...
# patched: missing readings filled from original Boshiamy phonetic groups (append-only)
㑳	zhou4
㑿	zhao4
㒓	ta4
㓦	bo4
㔩	e4
㕙	jun4
㕷	pa1 pia1
㖡	ye4
㖪	yu4
㘔	sai1 sai2
㛂	nuo3
㞞	song2
㟏	han1
㥄	ling2
㥏	tian3
㩐	den4
㩳	song3
㫃	yan3
㬊	huan3
㭘	xia2
㲪	deng1
㲯	lan2
㲲	die2
㵝	yi4
㵞	chou2
㶁	guo2
㶟	lei3 lei2
㷍	lun2
㸌	huo4
㸙	zhe1
㹜	yin2
䀇	gu3
䀠	ju4
䀢	shun4
䆿	yi4
䈰	shao1
䈾	shao1
䉶	shuang1
䍡	lu4
䍦	li2
䍪	wa4
䏿	qi3
䐶	zan1
䒷	gua1
䖳	zha4
䖵	kun1
䘿	jue2
䛟	jia2
䟫	cheng2
䠷	tiao3
䨲	nou2
䫄	chua4
䫏	qi1
䰀	wo3
䰐	lan2
䰖	zan3 zuan3
䰰	ru2
一	yi1
丁	ding1 zheng1
丂	kao3
七	qi1
万	mo4 wan4
丈	zhang4
三	sa1 san1 san4
上	shang3 shang4
下	xia4
丌	ji1
不	bu4 fou1 fou3 fu1
丏	mian3
丐	gai4
丑	chou3
且	ju1 qie3
丕	pi1
世	shi4
丘	qiu1
丙	bing3
丞	cheng2
丟	diu1
並	bang4 bing4
丨	gun3
丩	jiu1
丫	ya1
中	zhong1 zhong4
丮	ji2 ji3
丰	feng1
丱	guan4
串	chuan4
丳	chan4 chan3
丶	zhu3
丸	wan2
丹	dan1
主	zhu3
丿	pie3
乂	ai4 yi4
乃	nai3
久	jiu3
么	yao1
之	zhi1
乍	zha4
乎	hu1 hu2
乏	fa2
乒	ping1
乓	pang1
乖	guai1
乘	cheng2 sheng4
乙	yi3
乜	mie1 nie4
九	jiu3
乞	qi3 qi4
也	ye3
乣	diu1
乩	ji1
乳	ru3
乾	gan1 qian2
亂	luan4
亅	jue2
了	le5 liao3
予	yu3 yu2
事	shi4
二	er4
亍	chu4
于	xu1 yu2
云	yun2
互	hu4
亓	qi2
五	wu3
井	jing3
亙	gen4 geng4
些	xie1 suo4
亞	ya1 ya3 ya4
亟	ji2 qi4
亠	tou2
亡	wu2 wang2
亢	gang1 kang4
交	jiao1
亥	hai4
亦	yi4
亨	peng1 heng1 heng2
享	xiang3
京	jing1 yuan2
亭	ting2
亮	liang2 liang4
亳	bo4
亶	dan3
亹	men2 wei3 wei4
人	ren2
什	shi2 she2 shen2
仁	ren2
仂	le4
仃	ding1
仄	ze4
仆	pu1 fu4
仇	qiu2 chou2
仉	zhang3
今	jin1
介	jie4
仍	reng2
仔	zi1 zi3 zai3
仕	shi4
他	ta1 tuo1
仗	zhang4
付	fu4
仙	xian1
仞	ren4
仟	qian1
仡	qi4 yi4
代	dai4
令	ling4
以	yi3
仨	sa1
仰	yang3
仲	zhong4
仳	pi3
仵	wu3
件	jian4
价	jie4 jia4
任	ren2 ren4
份	bin1 fen4
仿	fang3
伀	zhong1
企	qi4
伈	xin3
伉	kang4
伊	yi1
伋	ji2
伍	wu3
伎	ji4
伏	fu2
伐	fa1 fa2
休	xiu1 xiu3 xu3
伕	fu1
优	you1 you2
伙	huo3
伯	ba4 bo2 bai3
估	gu1 gu3 gu4
伴	ban4
伶	ling2
伸	shen1
伺	ci4 si4
似	si4
伽	jia1 qie2
伾	pi1
佁	ai3
佃	dian4 tian2
但	dan4
佇	zhu4
佈	bu4
佉	qu1
佊	bi3
佌	ci3
位	wei4
低	di1
住	zhu4
佐	zuo3
佑	you4
佒	yang1
佔	zhan1 zhan4
何	he2
佗	ta1 tuo1 tuo2
佘	she2
余	xu2 yu2 tu2
佚	die2 yi4
佛	bi4 fo2 fu2
作	zuo1 zuo2 zuo4
佝	kou4
佞	ning4
佟	tong2
你	ni3
佣	yong4
佤	wa3
佧	ka3
佩	pei4
佪	huai2 hui2
佬	lao3
佯	yang2
佰	bo2 bai3 mo4
佳	jia1
佴	er4
併	bing4
佶	ji2
佷	hen3 heng2
佸	huo2
佹	gui3
佺	quan2
佻	tiao1 tiao2
佼	jiao3
佽	ci4
佾	yi4
使	shi3 shi4
侁	shen1
侂	tuo1
侃	kan3
侄	zhi2
來	lai2 lai4
侇	yi2
侈	chi3
侉	kua3 kua1
侊	guang1 gong1
例	li4
侍	shi4
侏	zhu1
侐	xu4
侑	you4
侔	mou2
侖	lun2
侗	dong4 tong2
侘	cha4
侚	xun4
供	gong1 gong4
侜	zhou1
依	yi1
侞	ru2 ru3
侮	wu3
侯	hou2
侲	zhen4
侵	qin1
侶	lv3
侷	ju2
侹	ting3
侻	tuo1 tui4
便	bian4 pian2
俁	yu3
係	xi4
促	cu4
俄	e2 e4
俅	qiu2
俇	wang3
俊	jun4 zun4
俍	liang2 lang2
俎	zu3
俏	qiao4
俐	li4
俑	yong3
俔	qian4 xian4
俗	su2
俘	fu2
俚	li3
俛	mian3 fu3
俜	ping1 ping2
保	bao3
俞	shu1 yu2 yu4
俟	qi2 si4
俠	jia2 xia2
信	xin4 shen1
修	xiu1
俯	fu3
俱	ju1 ju4
俳	pai2
俴	jian4
俵	biao3
俶	chu4
俸	feng4
俺	an3 yan4
俾	bei1 bi4
倀	chang1
倅	cui4
倆	lia3 liang3
倈	lai2
倉	cang1
個	ge5 ge3 ge4
倌	guan1
倍	bei4
倏	shu4
們	men5 men2
倒	dao3 dao4
倓	tan2
倔	jue2 jue4
倕	chui2
倖	xing4
倗	peng2
倘	tang3 chang2
候	hou4
倚	yi3
倛	qi1
倜	ti4
倝	gan4
倞	liang4 jing4
借	jie4
倡	chang1 chang4
倢	jie2
倣	fang3
倥	kong1 kong3
倦	juan4
倧	zong1
倨	ju4
倩	qian4
倪	ni2
倫	lun2
倬	zhuo2
倭	wo1 wo3 wei1
倮	luo3
倳	zi4
值	zhi2 zhi4
偁	cheng1
偃	yan3
假	jia3 jia4
偈	ji4 jie2
偉	wei3
偊	yu3
偋	bing4
偌	ruo4
偍	ti2
偎	wei1
偏	pian1
偓	wo4
偕	jie1 xie2
做	zuo4
停	ting2
偝	bei4 bei1
偟	huang2
偠	yao3
偢	chou3 qiu1
健	jian4
偩	fu4
偪	bi1 fu2
偭	mian3
偯	yi3
偰	xie4
偲	si1 sai1
側	ze4 ce4
偵	zhen1
偶	ou3
偷	tou1
偺	za2 zan2
偽	wei4
傀	gui1 kui3
傃	su4
傅	fu4
傈	li4
傉	nu4
傌	ma3 ma4
傍	bang1 bang4 pang2
傎	dian1
傑	jie2
傒	xi1 xi4
傔	qian4
傕	jue2
傖	cheng2 cang1
傘	san3
備	bei4
傚	xiao4
傜	yao2
傞	suo1
傢	jia1
傣	dai3 tai4
催	cui1
傭	yong1 yong2
傯	zong3
傱	song3
傲	ao4
傳	zhuan4 chuan2
傴	yu3
債	zhai4
傷	shang1
傺	chi4
傻	sha3
傾	keng1 qing1 qing2
僂	lou2
僄	piao1 piao4
僅	jin3 jin4
僆	lian4 lian3
僇	lu4
僈	man4
僉	qian1
僊	xian1
僎	zhuan4
像	xiang4
僑	qiao2
僓	tui3 tui2
僔	zun3
僕	pu2
僖	xi1
僗	lao2 lao4
僚	liao2
僛	qi1
僝	chan2
僤	dan4
僥	jiao3 yao2
僦	jiu4
僧	seng1
僨	fen4
僩	xian4
僬	jiao1
僭	jian4
僮	tong2 zhuang4
僰	bo2
僱	gu4
僵	jiang1
僶	min3
價	ga5 jia4
僻	bei4 pi4
僽	zhou4
僾	ai4
僿	shi4 sai4
儀	yi2
儂	nong2
儃	tan3 chan2 shan4
億	yi4
儆	jing3
儇	xuan1
儈	kuai4
儉	jian3 jian4
儋	dan1 dan4
儌	jiao3
儐	bin1 bin4
儒	ru2
儓	tai2
儔	chou2
儕	chai2
儗	ni3
儘	jin3 jin4
儚	meng2
儜	neng2
償	chang2
儡	lei3
儤	bao4
儥	yu4 du2
儦	biao1
儩	si4
優	you1
儭	chen4
