$	~⟨,SI^F⟩⟨,DOL^R⟩
0	~⟨,O⟩
1	~⟨,E⟩
2	~⟨,R⟩
3	~⟨,S⟩
4	~⟨,F⟩
5	~⟨,W⟩
6	~⟨,L⟩
7	~⟨,C⟩
8	~⟨,B⟩
9	~⟨,K⟩
ve.	~⟨ヹ⟩
¢	~⟨,CEN⟩⟨,CI^R⟩⟨,CP^V⟩
£	~⟨,POU⟩⟨,LE^S⟩
¤	~⟨,BOB⟩
¥	~⟨,YR^V⟩⟨,YEN^V⟩
§	~⟨,SS⟩
¨	~⟨,..⟩⟨..B⟩
©	~⟨,OCB⟩
«	~⟨[[L⟩⟨,[[L⟩⟨,,,^V⟩
®	~⟨,ORC⟩
±	~⟨,JE⟩⟨,YE⟩
µ	~⟨,MIC⟩⟨,MUE^R⟩
·	~⟨'L⟩⟨,.B⟩
»	~⟨]]L⟩⟨,]]L⟩⟨,..^R⟩
¼	~⟨,EPF⟩
½	~⟨,EPR⟩
¾	~⟨,SPF⟩
×	~⟨,XX⟩⟨,X^V⟩⟨..^F⟩
à	~⟨,NA^R⟩
á	~⟨,PA^S⟩
è	~⟨,NE⟩
ê	~⟨,NE^V⟩
ì	~⟨,NI⟩
í	~⟨,PIW⟩
ò	~⟨,NO^V⟩
ó	~⟨,PO^V⟩
÷	~⟨,M⟩⟨..W⟩
ù	~⟨,NU^S⟩
ú	~⟨,PU^V⟩
ü	~⟨,BU⟩⟨,..U⟩
ā	~⟨,EA⟩
ē	~⟨,EEC⟩
ě	~⟨,VE^F⟩
ī	~⟨,EIL⟩
ń	~⟨,PN⟩
ň	~⟨,VN⟩
ō	~⟨,EO⟩
ū	~⟨,EU⟩
ǎ	~⟨,VA^V⟩
ǐ	~⟨,VI^S⟩
ǒ	~⟨,VO⟩
ǔ	~⟨,VU⟩
ǘ	~⟨,P..⟩
ǚ	~⟨,V..⟩
ǜ	~⟨,N..⟩
ˆ	~⟨,GVL⟩⟨,[VL⟩⟨,G^V⟩⟨,EI^V⟩
ˇ	~⟨,SY⟩⟨,SS^V⟩
ˉ	~⟨,EE^F⟩
ˊ	~⟨,RS⟩⟨,RY⟩
ˋ	~⟨,FS⟩⟨,FY⟩
˙	~⟨,CS⟩⟨,CY⟩⟨,ES⟩⟨,EY⟩
Α	~⟨,ALP⟩
Β	~⟨,BET⟩
Γ	~⟨,GAM⟩
Δ	~⟨,DEL⟩⟨,SNW⟩
Ε	~⟨,EPS^V⟩
Ζ	~⟨,ZET⟩
Η	~⟨,ETA⟩
Θ	~⟨,THE⟩
Ι	~⟨,IOT⟩
Κ	~⟨,KAP⟩
Λ	~⟨,LAM⟩
Μ	~⟨,MU^R⟩
Ν	~⟨,NU^V⟩
Ξ	~⟨,XI^F⟩
Ο	~⟨,OMI^V⟩
Π	~⟨,PI^F⟩
Ρ	~⟨,RHO⟩
Σ	~⟨,EC⟩⟨,SM⟩⟨,SIG⟩
Τ	~⟨,TAU⟩
Υ	~⟨,UPS⟩
Φ	~⟨,PHI⟩
Χ	~⟨,CHI^R⟩
Ψ	~⟨,VI⟩⟨,PSI⟩
Ω	~⟨,OMG⟩
α	~⟨,A⟩
ζ	~⟨,US⟩⟨,ZET^V⟩
η	~⟨,ETA^V⟩
θ	~⟨,TH⟩⟨,Q^V⟩
ι	~⟨,IOT^V⟩
κ	~⟨,K^S⟩⟨,KAP^V⟩
λ	~⟨,L^S⟩
μ	~⟨,MU⟩⟨,MUE⟩
ν	~⟨,V^S⟩⟨,NU^R⟩
ξ	~⟨,ES^V⟩
ο	~⟨,OMI^R⟩
π	~⟨,PI⟩⟨,ER^V⟩
ρ	~⟨,RHO^V⟩
σ	~⟨,SIG^V⟩
τ	~⟨,EL^V⟩
υ	~⟨,UPS^V⟩
φ	~⟨,OP⟩⟨,PO⟩⟨,PHI^V⟩
χ	~⟨,XW⟩⟨,CHI^S⟩
ψ	~⟨,PU⟩⟨,PSI^V⟩
ω	~⟨,W^S⟩
Ё	~⟨,IO⟩⟨,..E⟩⟨,BE^S⟩
А	~⟨,A^F⟩
Б	~⟨,BE^V⟩
В	~⟨,VE^R⟩
Д	~⟨,DE^S⟩
Е	~⟨,IE⟩
Ж	~⟨,ZHE⟩
З	~⟨,ZE^V⟩
Й	~⟨,SII⟩
К	~⟨,KA^R⟩
Л	~⟨,EL^R⟩
М	~⟨,EM⟩
П	~⟨,PE^V⟩
Р	~⟨,ER^S⟩
С	~⟨,ES^R⟩
Т	~⟨,TE⟩
Ф	~⟨,EFK⟩
Х	~⟨,KHA⟩
Ц	~⟨,TSE⟩
Ч	~⟨,CHE^R⟩
Ш	~⟨,SHA⟩
Щ	~⟨,SHE^V⟩
Ъ	~⟨,SIG^R⟩
Ы	~⟨,YER⟩
Ь	~⟨,BK⟩⟨,SSI⟩
Ю	~⟨,IU^V⟩
Я	~⟨,IA⟩
а	~⟨,AW⟩
б	~⟨,BE^R⟩
в	~⟨,VE^S⟩
д	~⟨,DE^F⟩
е	~⟨,IE^V⟩
ж	~⟨,ZHE^V⟩
з	~⟨,ZE^R⟩
й	~⟨,SII^V⟩
к	~⟨,KA^S⟩
л	~⟨,EL^S⟩
м	~⟨,EM^V⟩
н	~⟨,EN^R⟩
п	~⟨,PE^R⟩
р	~⟨,ER^F⟩
с	~⟨,ES^S⟩
т	~⟨,TE^V⟩
у	~⟨,UC⟩
х	~⟨,KHA^V⟩
ц	~⟨,TSE^V⟩
ч	~⟨,CHE^S⟩
ш	~⟨,SHA^V⟩
щ	~⟨,SHC⟩
ъ	~⟨,SIG^S⟩
ы	~⟨,YER^V⟩
ь	~⟨,SSI^V⟩
ю	~⟨,IU^R⟩
я	~⟨,IA^V⟩
ё	~⟨,BE^F⟩⟨,IO^V⟩⟨,..E^V⟩
฿	~⟨,BAH⟩⟨,BI^R⟩
–	~⟨,EW⟩
—	~⟨,EEW⟩
‖	~⟨,RI^F⟩
‘	~⟨,'⟩⟨,,W⟩
’	~⟨,,L⟩⟨,'^V⟩⟨,''^F⟩
“	~⟨''⟩⟨,''⟩⟨,,B⟩
”	~⟨'''⟩⟨,,K⟩⟨,VB⟩⟨,,^V⟩⟨,''^V⟩⟨,,V^V⟩
‥	~⟨..^V⟩
…	~⟨...⟩
‧	~⟨'^R⟩⟨,.^V⟩
‰	~⟨,OPO^R⟩
′	~⟨,'^S⟩
″	~⟨,PP^S⟩⟨,RP^R⟩
‵	~⟨,'^R⟩
※	~⟨,XF⟩
₠	~⟨,CE^V⟩⟨,EUR^V⟩
₡	~⟨,COL⟩⟨,CM^V⟩
₢	~⟨,CRU⟩⟨,CR^V⟩
₣	~⟨,FR⟩⟨,FRA⟩
₤	~⟨,LIR⟩⟨,LR^R⟩
₥	~⟨,MP⟩⟨,MIL^V⟩
₦	~⟨,NR⟩⟨,NAI⟩
₧	~⟨,PE⟩⟨,PES⟩⟨,PTS⟩
₨	~⟨,RES⟩⟨,RUP⟩⟨,RS^V⟩
₩	~⟨,WR⟩⟨,WON⟩
₪	~⟨,NU⟩⟨,SHE⟩
₫	~⟨,DON⟩⟨,EDE⟩⟨,DR^S⟩
€	~⟨,CR⟩⟨,EUR⟩
₭	~⟨,KE⟩⟨,KIP⟩
