〇	~⟨O⟩
䌹	~⟨SNO⟩
䟢	~⟨OZR⟩
丆	~⟨LP⟩
丗	~⟨SO⟩
丯	~⟨FJ⟩
丷	~⟨BA⟩
丿	~⟨PP⟩
乕	~⟨LQN⟩
亜	~⟨OE⟩
仭	~⟨PDN⟩
仺	~⟨BEE⟩
伇	~⟨PRU⟩
佡	~⟨PBE⟩
侭	~⟨PCNB⟩
侸	~⟨PDE⟩
俖	~⟨PBO⟩
偀	~⟨PRC⟩
冎	~⟨QY⟩
冩	~⟨NGNF⟩
処	~⟨PRL⟩
凧	~⟨RNI⟩
凩	~⟨RTN⟩
凪	~⟨RZE⟩
剓	~⟨HDD⟩
劯	~⟨LOD⟩
労	~⟨RND⟩
匁	~⟨NXX⟩
匂	~⟨NFL⟩
匇	~⟨NCA⟩
匤	~⟨FKA⟩
叺	~⟨OBP⟩
吂	~⟨FO⟩
吜	~⟨OEE⟩
呟	~⟨OLW⟩
咅	~⟨LOO⟩
咜	~⟨ONF⟩
唖	~⟨OOE⟩
喰	~⟨OXN⟩
営	~⟨FF⟩
噛	~⟨OZU⟩
囎	~⟨OMBB⟩
囗	~⟨OO⟩
圦	~⟨YBN⟩
圧	~⟨LYE⟩
圸	~⟨YEI⟩
垰	~⟨YFF⟩
壵	~⟨YYY⟩
夛	~⟨ECA⟩
婒	~⟨GFF⟩
宧	~⟨NRE⟩
寉	~⟨NVE⟩
専	~⟨XA⟩
尓	~⟨RX⟩
尕	~⟨RSA⟩
尙	~⟨SNO⟩
屃	~⟨CMB⟩
屚	~⟨CUA⟩
屶	~⟨EDP⟩
岰	~⟨EWD⟩
岾	~⟨EZO⟩
峅	~⟨EUR⟩
峠	~⟨EFF⟩
嵳	~⟨EBHI⟩
帯	~⟨SV⟩
廹	~⟨PDW⟩
弉	~⟨GYR⟩
弖	~⟨QEE⟩
彜	~⟨CEMR⟩
戝	~⟨MBAQ⟩
戦	~⟨OQ⟩
払	~⟨JUA⟩
抷	~⟨JBE⟩
拀	~⟨JOR⟩
挧	~⟨JEE⟩
掍	~⟨JDB⟩
掻	~⟨JUC⟩
揺	~⟨JUU⟩
旙	~⟨FMQ⟩
旡	~⟨KL⟩
旾	~⟨EDO⟩
昿	~⟨DLU⟩
晿	~⟨DDD⟩
曽	~⟨BO⟩
朩	~⟨TN⟩
杢	~⟨TIE⟩
杣	~⟨TEI⟩
杦	~⟨TNN⟩
杻	~⟨TEE⟩
枠	~⟨TJJ⟩
枡	~⟨TXJ⟩
枦	~⟨TFP⟩
枩	~⟨DBU⟩
柼	~⟨TNB⟩
栄	~⟨FT⟩
栍	~⟨TSE⟩
桜	~⟨TSG⟩
桟	~⟨TKX⟩
梍	~⟨TPDC⟩
棞	~⟨TOH⟩
椛	~⟨TRPF⟩
楢	~⟨TBE⟩
榁	~⟨TNP⟩
榊	~⟨TRSI⟩
槝	~⟨TNE⟩
樮	~⟨TCF⟩
樰	~⟨TUE⟩
橸	~⟨TDDD⟩
歾	~⟨DNM⟩
毟	~⟨SML⟩
気	~⟨KXX⟩
氺	~⟨WA⟩
汢	~⟨WYE⟩
沢	~⟨WCN⟩
沯	~⟨WLO⟩
沵	~⟨WRX⟩
泦	~⟨WCK⟩
洨	~⟨WLX⟩
淓	~⟨WRF⟩
溌	~⟨WFL⟩
濥	~⟨WCN⟩
炗	~⟨RFN⟩
炻	~⟨FLO⟩
煂	~⟨FRC⟩
煕	~⟨ROLF⟩
犠	~⟨SBK⟩
珱	~⟨KSG⟩
瓧	~⟨WJJ⟩
瓰	~⟨WBD⟩
瓲	~⟨WEL⟩
瓸	~⟨WTD⟩
甅	~⟨WLQ⟩
甠	~⟨DSE⟩
畑	~⟨FQO⟩
畠	~⟨PDQ⟩
畩	~⟨QLK⟩
畳	~⟨QNM⟩
疓	~⟨LBR⟩
疜	~⟨LBF⟩
疽	~⟨LBM⟩
痖	~⟨LBO⟩
痽	~⟨LBV⟩
発	~⟨FL⟩
皃	~⟨PDR⟩
皲	~⟨NCP⟩
睒	~⟨MFF⟩
矵	~⟨LOR⟩
砗	~⟨LOC⟩
砬	~⟨LOL⟩
砿	~⟨LOLU⟩
硲	~⟨LOW⟩
硴	~⟨LORF⟩
礖	~⟨LOE⟩
穃	~⟨HNW⟩
竏	~⟨LGJ⟩
竰	~⟨LLQ⟩
箚	~⟨ZAOR⟩
篏	~⟨ZGI⟩
籾	~⟨MDA⟩
粐	~⟨MFP⟩
粔	~⟨MFF⟩
粫	~⟨MRI⟩
絣	~⟨SBK⟩
続	~⟨SB⟩
綛	~⟨SDAH⟩
綶	~⟨SQT⟩
縦	~⟨SZ⟩
繊	~⟨SBBE⟩
繋	~⟨CS⟩
纟	~⟨SA⟩
罒	~⟨FO⟩
耒	~⟨LN⟩
聢	~⟨RNEZ⟩
肨	~⟨UFJ⟩
胩	~⟨UFP⟩
脳	~⟨USI⟩
臓	~⟨URAR⟩
舗	~⟨BIJ⟩
舮	~⟨ZFP⟩
芐	~⟨RFA⟩
苝	~⟨RFF⟩
苷	~⟨RGO⟩
苼	~⟨RSE⟩
茮	~⟨RFS⟩
茴	~⟨ROO⟩
荢	~⟨RNU⟩
荱	~⟨RCM⟩
萠	~⟨RUU⟩
葪	~⟨RNR⟩
蓙	~⟨RLBY⟩
蔛	~⟨RND⟩
蕬	~⟨RSS⟩
蚉	~⟨WCA⟩
蚞	~⟨CTN⟩
蛍	~⟨RNC⟩
蛡	~⟨CEE⟩
蛯	~⟨CYPF⟩
螼	~⟨CRC⟩
衵	~⟨VDO⟩
